# x_m,y_m,w_tr_right_m,w_tr_left_m
2.7836,1.688,0.75,0.75
2.8527,1.6907,0.75,0.75
2.9216,1.6915,0.7365,0.7365
2.9904,1.6911,0.723,0.723
3.0591,1.6902,0.7095,0.7095
3.1279,1.6897,0.7,0.704
3.1967,1.6896,0.7,0.7175
3.2655,1.6898,0.7,0.731
3.3344,1.69,0.7,0.7445
3.4032,1.6901,0.7,0.742
3.472,1.6901,0.7,0.7285
3.5409,1.69,0.7,0.715
3.6097,1.69,0.7,0.7015
3.6785,1.69,0.712,0.7
3.7473,1.69,0.7255,0.7
3.8161,1.69,0.739,0.7
3.885,1.69,0.75,0.7
3.9538,1.69,0.75,0.7
4.0226,1.69,0.75,0.7
4.0914,1.69,0.75,0.7
4.1602,1.69,0.75,0.7065
4.2291,1.6901,0.75,0.72
4.2979,1.69,0.75,0.7335
4.3667,1.6899,0.75,0.747
4.4356,1.6898,0.75,0.75
4.5044,1.6897,0.75,0.75
4.5732,1.69,0.75,0.75
4.6419,1.6905,0.75,0.75
4.7107,1.691,0.75,0.75
4.7796,1.6908,0.75,0.75
4.8485,1.6895,0.75,0.75
4.9176,1.6874,0.755,0.745
4.9865,1.6862,0.7685,0.7315
5.0551,1.6881,0.782,0.718
5.1233,1.695,0.7955,0.7045
5.1909,1.7067,0.8,0.709
5.2582,1.7218,0.8,0.7225
5.3254,1.7388,0.8,0.736
5.3925,1.7562,0.8,0.7495
5.4598,1.772,0.8,0.776
5.5274,1.7843,0.8,0.803
5.5955,1.7909,0.8,0.83
5.6641,1.7916,0.8,0.8475
5.733,1.7897,0.8,0.8377
5.802,1.7891,0.8,0.828
5.8709,1.7932,0.8,0.8183
5.9393,1.8033,0.8075,0.8268
6.0067,1.8184,0.821,0.8501
6.0728,1.8377,0.8345,0.8733
6.1372,1.8602,0.848,0.8966
6.2007,1.8852,0.8385,0.867
6.2641,1.9119,0.825,0.8283
6.3285,1.9394,0.8115,0.7896
6.3942,1.9675,0.796,0.7604
6.4585,1.9981,0.769,0.7856
6.5179,2.0338,0.742,0.8108
6.5687,2.0772,0.715,0.836
6.6079,2.1304,0.7,0.8339
6.6367,2.1921,0.7,0.7977
6.6586,2.2591,0.7,0.7615
6.677,2.3282,0.7,0.7253
6.6947,2.3965,0.71,0.7127
6.7111,2.4638,0.7235,0.7084
6.7238,2.5308,0.737,0.7041
6.7304,2.5984,0.7505,0.7
6.7304,2.667,0.764,0.7
6.7279,2.7362,0.7775,0.7
6.7277,2.8052,0.791,0.7
6.7344,2.8734,0.788,0.6955
6.7482,2.9409,0.7521,0.682
6.7643,3.0081,0.7163,0.6685
6.7779,3.0756,0.6804,0.655
6.7846,3.1437,0.6727,0.6415
6.7852,3.2125,0.6816,0.628
6.7825,3.2815,0.6905,0.6145
6.7797,3.3507,0.6993,0.601
6.7786,3.4196,0.675,0.6
6.7788,3.4884,0.648,0.6
6.7796,3.5571,0.621,0.6
6.7803,3.6259,0.597,0.6
6.7804,3.6947,0.5835,0.6
6.7802,3.7635,0.57,0.6
6.78,3.8324,0.5565,0.6
6.7799,3.9012,0.55,0.6
6.7799,3.97,0.55,0.6
6.7799,4.0389,0.55,0.6
6.78,4.1077,0.55,0.6
6.7801,4.1765,0.561,0.6
6.7801,4.2453,0.5745,0.6
6.78,4.3141,0.588,0.6
6.7799,4.383,0.6045,0.6
6.7798,4.4518,0.645,0.6
6.7798,4.5206,0.6855,0.6
6.78,4.5894,0.726,0.6
6.7804,4.6582,0.739,0.6
6.7807,4.727,0.712,0.6
6.7806,4.7959,0.685,0.6
6.7795,4.8647,0.658,0.6
6.7778,4.9336,0.65,0.6
6.7765,5.0025,0.65,0.6
